Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
CAA0001,KURSUS BASIC TRAINING REFRESHER (BTR) PEMBANTU LAUT (UPSKILLING-PP),2023,12,PERIKANAN,KONSERVASI DAN PERLINDUNGAN PERIKANAN,A19,A,Pengangkutan
CAA0002,KURSUS PEMINDAHAN TEKNOLOGI KULTUR DAN PROPAGASI KARANG (UPSKILLING-GS),2023,3,PERIKANAN,AKUAKULTUR,A19,A,Pengangkutan
CAA0019,KURSUS PEMINDAHAN TEKNOLOGI PEMPROSESAN PRODUK PERIKANAN BERASASKAN OTOSHIMI (SIRI 1) (UPSKILLING-GS),2023,4,PERIKANAN,PENGEMBANGAN PERIKANAN,A19,A,Pengangkutan
CAA0021,KURSUS PEMINDAHAN TEKNOLOGI PEMPROSESAN PRODUK PERIKANAN BERASASKAN SURIMI (SIRI 1) (UPSKILLING-GS),2023,4,PERIKANAN,PENGEMBANGAN PERIKANAN,A19,A,Pengangkutan
CAA0023,KURSUS PENYELENGGARAAN ENJIN SANGKUT (SIRI 1) (UPSKILLING-GS),2023,2,PERIKANAN,SUMBER PERIKANAN TANGKAPAN,A29,A,Pengangkutan
CAA0029,KURSUS TEKNOLOGI PELAYARAN DAN PERALATAN NAVIGASI SIRI 1 (UPSKILLING-GS),2023,3,PERIKANAN,SUMBER PERIKANAN TANGKAPAN,A19,A,Pengangkutan
CAA0031,KURSUS TEKNIKAL KEMAHIRAN PEMBENIHAN IKAN MARIN (UPSKILLING-GS),2023,4,PERIKANAN,AKUAKULTUR,A19,A,Pengangkutan
CAA0032,KURSUS PEMINDAHAN TEKNOLOGI PENYEDIAAN MAKANAN HIDUP MARIN (UPSKILLING-GS),2023,3,PERIKANAN,AKUAKULTUR,A19,A,Pengangkutan
CAA0033,KURSUS ASUHAN IKAN MARIN MENGGUNAKAN SISTEM RAS (UPSKILLING-GS),2023,3,PERIKANAN,AKUAKULTUR,A19,A,Pengangkutan
CAA0037,KURSUS BASIC TRAINING (BT) SIRI 1/ 2023 (UPSKILLING-PP),2023,6,PERIKANAN,KONSERVASI DAN PERLINDUNGAN PERIKANAN,A19,A,Pengangkutan
