Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
KXA0012,Kursus Persediaan Hadiah Latihan Persekutuan (HLP) Ijazah Doktor Falsafah dan Ijazah Sarjana (Secara Penyelidikan) Bidang Sains Sosial & Sains Teknologi,2023,18,MANDATORI,Hadiah Latihan Persekutuan,A44,A,Pengangkutan
KXA0014,Kursus  Asas Penyelidikan untuk Penjawat Awam (Introduction to Research for Public Officials),2024,5,PENYELIDIKAN,Penyelidikan,AL41,A,Pengangkutan
KXA0015,INTAN Virtual Facilitation,2023,3,PEMBANGUNAN LATIHAN,Pengurusan Latihan,A41,A,Pengangkutan
SZA0002,Kursus Etika Kerja : Gamifikasi,2022,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A22,A,Pengangkutan
SZA0003,Kursus Pemikiran Kreatif,2024,3,INOVASI DAN KREATIVITI,Creativity in Work Culture,A36,A,Pengangkutan
SZA0006,"Kursus Protokol, Etiket Sosial dan Pengurusan Majlis",2023,4,KOMUNIKASI,Protokol dan Pengurusan Majlis,A41,A,Pengangkutan
SZA0008,Kursus Tatacara Pengurusan Aset Alih Kerajaan,2022,3,KEWANGAN,Pengurusan Aset dan Stor,A22,A,Pengangkutan
SZA0009,Kursus Pengucapan Awam,2021,4,KOMUNIKASI,Pengucapan Awam,A19,A,Pengangkutan
SZA0013,Program Transformasi Minda,2021,5,MANDATORI,Program Transformasi Minda,A19,A,Pengangkutan
SZA0015,Kursus Horizon Baharu Kumpulan Inovatif dan Kreatif (KIK),2022,2,INOVASI DAN KREATIVITI,Kumpulan Inovatif dan Kreatif,AB29,A,Pengangkutan
SZA0018,Kursus Smart Integriti,2021,1,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,AB29,A,Pengangkutan
SZA0029,Kursus Etika Kerja : Peranan Penyelia,2024,2,KEPIMPINAN,Kepimpinan,AB29,A,Pengangkutan
SZA0030,Kursus Pengurusan Risiko Dalam Sektor Awam,2023,2,PENGURUSAN,Krisis Dan Konflik,A22,A,Pengangkutan
SZA0031,Kursus Kepimpinan Transformatif Dan Pengurusan Organisasi,2022,2,KEPIMPINAN,Kepimpinan,AL44,A,Pengangkutan
SZA0039,Kursus Santun Mengacara Majlis,2022,3,KOMUNIKASI,Protokol dan Pengurusan Majlis,A22,A,Pengangkutan
SZA0043,Kursus Mastering Innovation Through Design Thinking,2023,2,INOVASI DAN KREATIVITI,Kumpulan Inovatif dan Kreatif,A41,A,Pengangkutan
SZA0045,Kursus Penyeliaan Dalam Organisasi,2024,4,KEPIMPINAN,Kepimpinan,A19,A,Pengangkutan
SZA0046,Kursus Pengurusan Perolehan Kerajaan,2022,3,KEWANGAN,Perolehan,AL41,A,Pengangkutan
SZA0048,Kursus Pengurusan Kenderaan,2024,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB29,A,Pengangkutan
SZA0049,Kursus Imej Dan Keterampilan,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,AL41,A,Pengangkutan
SZA0053,Bengkel Pengurusan Buku Perkhidmatan Kerajaan,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
TZA0004,Kursus Imej dan Keterampilan,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,A36,A,Pengangkutan
TZA0008,Kursus Pengurusan Aset Alih Kerajaan,2022,4,KEWANGAN,Pengurusan Aset dan Stor,A22,A,Pengangkutan
TZA0009,Kursus Pengurusan Perolehan Kerajaan,2022,4,KEWANGAN,Perolehan,A44,A,Pengangkutan
TZA0012,Kursus Asas Perakaunan Akruan,2021,3,KEWANGAN,Kewangan,A22,A,Pengangkutan
TZA0015,Kursus MyPortfolio: Panduan Kerja Sektor Awam,2021,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
TZA0016,"Kursus Protokol, Etiket Sosial dan Pengurusan Majlis",2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A44,A,Pengangkutan
TZA0022,Kursus Penyeliaan Berkesan (Asas),2023,4,KEPIMPINAN,Kepimpinan,A19,A,Pengangkutan
TZA0030,Kursus Pengurusan Bencana,2021,4,PENGURUSAN,Krisis Dan Konflik,AL44,A,Pengangkutan
TZA0031,Kursus Pengurusan Mesyuarat,2024,4,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
TZA0038,Kursus Program Transformasi Minda,2022,5,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A19,A,Pengangkutan
TZA0040,Kursus Persembahan Slaid Efektif dan Persembahan Berimpak Tinggi,2021,2,ICT,Pengurusan Maklumat,AL44,A,Pengangkutan
TZA0041,Kursus Kecerdasan Minda Bagi Petugas Barisan Hadapan,2024,3,KOMUNIKASI,Pengurusan Pelanggan,A22,A,Pengangkutan
TZA0043,Kursus Pengukuhan Pasukan Virtual,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Pengukuhan Pasukan,A41,A,Pengangkutan
TZA0044,Kursus Emotional Spiritual intelligent,2023,2,PSIKOLOGI,Psikologi Dan Minda,A41,A,Pengangkutan
TZA0052,Kursus Pengurusan Kenderaan Kerajaan,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A22,A,Pengangkutan
TZA0056,Kursus Profesionalisme Diri Unggul,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A36,A,Pengangkutan
UZA0001,Kursus Pengukuhan Pasukan,2021,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB29,A,Pengangkutan
UZA0002,Kursus Pengurusan Pelanggan,2022,2,PENGURUSAN,Krisis Dan Konflik,A19,A,Pengangkutan
UZA0003,Kursus Pengurusan Mesyuarat,2021,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A36,A,Pengangkutan
UZA0004,Kursus Pengurusan Aset Alih Kerajaan,2021,2,KEWANGAN,Pengurusan Aset dan Stor,AL41,A,Pengangkutan
UZA0005,Kursus Pengurusan Perolehan Kerajaan,2021,2,KEWANGAN,Perolehan,A52,A,Pengangkutan
UZA0007,Kursus Human Resource Champions: Pengurusan Tatatertib,2023,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
UZA0009,Program Transformasi Minda,2021,5,MANDATORI,Program Transformasi Minda,A19,A,Pengangkutan
UZA0011,Kursus Pemahaman dan Pelaksanaan MS ISO 9001:2015,2022,3,PENGURUSAN,Perubahan,A41,A,Pengangkutan
UZA0012,Kursus Pemikiran Kreatif,2023,2,INOVASI DAN KREATIVITI,Kumpulan Inovatif dan Kreatif,A19,A,Pengangkutan
UZA0013,Kursus Gamifikasi Kreativiti di Tempat Kerja,2022,3,INOVASI DAN KREATIVITI,Creativity in Work Culture,A41,A,Pengangkutan
UZA0017,Kursus MyPortfolio: Panduan Kerja Sektor Awam,2022,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
UZA0023,Kursus Imej dan Ketrampilan,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A44,A,Pengangkutan
UZA0025,Kursus Minda Sejahtera,2022,2,PSIKOLOGI,Psikologi Dan Minda,A19,A,Pengangkutan
UZA0027,Kursus Asas Sistem Pengurusan Anti-Rasuah (Anti-Bribery Management System) ISO 37001: 2016,2021,2,PENGURUSAN,Perubahan,A19,A,Pengangkutan
UZA0041,Pengurusan Sistem Rekod Yang Efektif,2021,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
UZA0045,"Kursus Penulisan Dokumen Rasmi Kerajaan (Minit Mesyuarat, Kertas Kerja, Laporan)",2022,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
UZA0056,Analyzing and Visualizing Data Using Excel,2023,3,ICT,Produktiviti Desktop,A29,A,Pengangkutan
UZA0066,Kursus Memperkasa Pengurusan Perolehan Kerajaan Berasaskan Best Value For Money,2024,3,KEWANGAN,Perolehan,A22,A,Pengangkutan
UZA0067,"Kursus Jom Kenali Item, Elak Pecah Kecil",2024,2,KEWANGAN,Perolehan,A19,A,Pengangkutan
WZA0001,Kursus Pemandu Cemerlang,2021,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A11,A,Pengangkutan
WZA0002,Pengucapan Awam,2023,3,KOMUNIKASI,Pengucapan Awam,AL41,A,Pengangkutan
WZA0007,Pengukuhan Pasukan,2022,4,PEMBANGUNAN DIRI DAN SAHSIAH,Pengukuhan Pasukan,A26,A,Pengangkutan
WZA0009,Kursus Kreativiti di Tempat Kerja,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A44,A,Pengangkutan
WZA0010,Kursus Innovation: Do You Want to be Creative?,2021,2,PENGURUSAN,Perubahan,A19,A,Pengangkutan
WZA0011,Kursus Pengurusan Kenderaan,2022,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A11,A,Pengangkutan
WZA0014,Kursus Pengurusan Sistem Rekod yang Efektif,2024,4,PENGURUSAN,Sumber Manusia (Perkhidmatan),A29,A,Pengangkutan
WZA0015,Kursus Pengurusan Pelanggan,2022,3,PENGURUSAN,Krisis Dan Konflik,A22,A,Pengangkutan
WZA0016,Komunikasi Berkesan,2024,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,A29,A,Pengangkutan
WZA0019,Program Transformasi Minda,2021,5,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
WZA0021,Tatacara Pengurusan Stor dalam Pengurusan Kewangan Negara,2021,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
WZA0023,Pengurusan Perolehan Kerajaan,2021,3,KEWANGAN,Perolehan,A41,A,Pengangkutan
WZA0024,Kursus Memahami Konflik di Tempat Kerja,2022,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,A19,A,Pengangkutan
WZA0026,Imej dan Keterampilan,2024,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,A29,A,Pengangkutan
WZA0027,Berfikir di Luar Kotak,2024,3,PENGURUSAN,Perubahan,A19,A,Pengangkutan
WZA0035,Kemahiran Penyambut Tetamu dalam Majlis Rasmi Kerajaan,2023,3,KOMUNIKASI,Protokol dan Pengurusan Majlis,A36,A,Pengangkutan
WZA0037,"RBTCS:  Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advanced)",2024,3,ICT,Produktiviti Desktop,A11,A,Pengangkutan
WZA0038,Kursus MyPortfolio: Panduan Kerja Sektor Awam,2021,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),A29,A,Pengangkutan
WZA0040,"Protokol, Etiket Sosial dan Pengurusan Majlis",2024,4,KOMUNIKASI,Protokol dan Pengurusan Majlis,A29,A,Pengangkutan
WZA0043,Kursus Language Awareness for Communicative Success: Grammar Essential,2024,2,BAHASA,English,A29,A,Pengangkutan
WZA0048,Leadership+,2022,2,KEPIMPINAN,Kepimpinan,A36,A,Pengangkutan
WZA0050,Human Resource Champion: Pengurusan Tatatertib,2021,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB29,A,Pengangkutan
WZA0054,Kursus Pengurusan Aset Alih,2022,4,PENGURUSAN,Sumber Manusia (Perkhidmatan),A29,A,Pengangkutan
WZA0058,Kursus Pengurusan Mesyuarat,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
WZA0061,Kursus Saya Yang Menjalankan Amanah,2024,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),AB29,A,Pengangkutan
WZA0065,Kursus Asas Perkhidmatan dalam Perkhidmatan Awam,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A19,A,Pengangkutan
WZA0066,Kursus Human Resource Champions : Pengurusan Perkhidmatan dan Prestasi,2023,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),A41,A,Pengangkutan
WZA0067,"Kursus Penulisan Dokumen Rasmi Kerajaan (Surat Rasmi, Memo dan E-mel)",2024,2,PENGURUSAN,Pengurusan Dokumen Rasmi,A29,A,Pengangkutan
WZA0068,Kursus Emotional Spiritual Intelligence,2024,2,PSIKOLOGI,Psikologi Dan Minda,A29,A,Pengangkutan
WZA0070,KURSUS BAHASA MANDARIN UNTUK INTERAKSI HARIAN,2024,3,BAHASA,Mandarin,AB29,A,Pengangkutan
BZA0004,Kursus Horizon Baharu Kumpulan Inovatif dan Kreatif (KIK),2022,3,INOVASI DAN KREATIVITI,Kumpulan Inovatif dan Kreatif,B19,B,Bakat dan Seni
BZA0005,Kursus Mastering Innovation Through Design Thinking,2022,1,INOVASI DAN KREATIVITI,Pengkomersialan inovasi,B29,B,Bakat dan Seni
BZA0022,Kursus Prosedur Kewangan (Asas),2022,3,KEWANGAN,Kewangan,B44,B,Bakat dan Seni
BZA0032,Kursus Faedah dan Pengurusan Persaraan: Apa Bakal Pesara Perlu Tahu?,2023,2,PENGURUSAN,Sumber Manusia (Perkhidmatan),B29,B,Bakat dan Seni
BZA0035,Kursus Komunikasi Berkesan,2022,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,B19,B,Bakat dan Seni
BZA0039,Kursus Pengurusan Rekod Yang Efektif,2022,4,PENGURUSAN,Sumber Manusia (Perkhidmatan),B32,B,Bakat dan Seni
BZA0045,Bengkel Asas Pengendalian Drone & Suntingan Imej Video Kreatif,2022,2,PENERBITAN,Creative Image/Video,B19,B,Bakat dan Seni
BZA0048,Kursus Microsoft Word 2016 (Basic/Intermediate),2022,2,ICT,Produktiviti Desktop,B41,B,Bakat dan Seni
BZA0049,Kursus Microsoft Excel 2016 (Basic/Intermediate),2022,2,ICT,Produktiviti Desktop,B41,B,Bakat dan Seni
BZA0050,Kursus Suntingan Video - Wondershare Filmora,2022,2,PENERBITAN,Creative Image/Video,B19,B,Bakat dan Seni
BZA0051,Kursus Reka ePoster dan Infografik - Canva,2022,2,ICT,Produktiviti Desktop,B29,B,Bakat dan Seni
BZA0054,Kursus Kreativiti di Tempat Kerja,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B29,B,Bakat dan Seni
BZA0061,Kursus Pembacaan Berkesan,2024,2,KOMUNIKASI,Pengucapan Awam,B29,B,Bakat dan Seni
BZA0062,Kursus Rekabentuk Grafik Dan Penyuntingan Foto - Photoshop,2023,3,ICT,Produktiviti Desktop,B29,B,Bakat dan Seni
BZA0064,Kursus Infographic Using Powerpoint,2023,3,ICT,Produktiviti Desktop,B32,B,Bakat dan Seni
BZA0069,Kursus Asas Keselamatan Siber,2023,1,ICT,Keselamatan dan Perlindungan Maklumat,B22,B,Bakat dan Seni
BZA0073,Kursus Rekabentuk Grafik dan Penyuntingan Foto (Canva),2024,3,ICT,Pengurusan Pengetahuan dan Maklumat Digital,B29,B,Bakat dan Seni
CAA0013,KURSUS PEMBENIHAN UDANG GALAH (UPSKILLING-GS),2023,3,PERIKANAN,AKUAKULTUR,B29,B,Bakat dan Seni
CCA0007,PENGURUSAN EMOSI DAN STRESS : CREATIVE PROBLEM SOLVING,2022,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B41,B,Bakat dan Seni
CCA0015,PENGENALAN TEKNOLOGI DRON UNTUK APLIKASI PENGAMBILAN DATA DAN PEMETAAN PERTANIAN,2022,3,PERTANIAN,KEJURUTERAAN DAN TEKNOLOGI PERTANIAN,B19,B,Bakat dan Seni
CCA0019,BUDAYA KERJA CEMERLANG,2022,2,PEMBANGUNAN DIRI DAN SAHSIAH,Petunjuk & Prestasi (KPI),B29,B,Bakat dan Seni
CCA0022,"PENGURUSAN FAIL, SURAT DAN REKOD RASMI KERAJAAN",2022,3,PENGURUSAN,Sumber Manusia (Perkhidmatan),B19,B,Bakat dan Seni
CCA0024,RAKAMAN DAN SUNTINGAN VIDEO,2022,3,PENERBITAN,Creative Image/Video,B29,B,Bakat dan Seni
CCA0033,PEMANTAPAN INFOGRAFIK,2023,2,ICT,Pengurusan Maklumat,B32,B,Bakat dan Seni
CCA0034,PENYEDIAAN SPESIFIKASI SEBUTHARGA/TENDER DAN PENYEDIAAN SURAT SETUJU TERIMA DAN DOKUMEN KONTRAK,2023,3,PENGURUSAN,Pengurusan Dokumen Rasmi,B32,B,Bakat dan Seni
CCA0036,PENINGKATAN KEMAHIRAN PENGGUNAAN VIDEO LIVE STREAMING,2023,3,ICT,Pengurusan Maklumat,B19,B,Bakat dan Seni
CCA0042,MENGENALI PERSONALITI MENERUSI ART DRAWING-HOUSE-TREE-PERSON (AD-HTP),2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B41,B,Bakat dan Seni
CCA0046,SUNTINGAN VIDEOGRAFI DAN FOTOGRAFI MENGGUNAKAN TELEFON PINTAR,2023,3,ICT,Pengurusan Pengetahuan dan Maklumat Digital,B32,B,Bakat dan Seni
CCA0052,Kursus Perkhidmatan (Umum),2024,2,PEMBANGUNAN DIRI DAN SAHSIAH,Petunjuk & Prestasi (KPI),B29,B,Bakat dan Seni
CCA0063,Kursus Pencirian Varieti Durian & Mangga,2024,4,PERTANIAN,PENGEMBANGAN PERTANIAN,B41,B,Bakat dan Seni
CCA0068,Kursus Teknik Pembiakan Buah-Buahan Secara Cantuman,2024,3,PERTANIAN,PENGEMBANGAN PERTANIAN,B29,B,Bakat dan Seni
CCA0074,Kursus Teknik Neuro Linguistik Program (NLP) Dalam Kepimpinan dan Komunikasi Berkesan,2024,3,KEPIMPINAN,Kepimpinan,B44,B,Bakat dan Seni
CCA0076,Kesedaran Kepentingan Kesihatan Emosi di Tempat Kerja & Kehidupan Harian Zon Utara,2024,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B29,B,Bakat dan Seni
DDA0029,Kursus Keselamatan dan Kualiti Makanan Berasaskan Produk Tanaman,2023,3,INDUSTRI MAKANAN,KUALITI DAN KESELAMATAN MAKANAN,B29,B,Bakat dan Seni
DDA0035,Kursus Pengurusan Perolehan Kerajaan,2023,3,PENGURUSAN,Pengurusan Dokumen Rasmi,B22,B,Bakat dan Seni
DDA0052,Kursus Advance Excel,2023,3,ICT,Pengurusan Pengetahuan dan Maklumat Digital,B19,B,Bakat dan Seni
DDA0058,Kursus Penyediaan dan Pengurusan Bajet (Peruntukan Mengurus),2024,1,KEWANGAN,Kewangan,B22,B,Bakat dan Seni
DDA0061,Kursus Budaya Kerja Cemerlang,2024,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B29,B,Bakat dan Seni
DDA0073,Kursus Kemahiran Google Workspace Dalam Pengurusan Maklumat,2024,3,ICT,Pengurusan Maklumat,B41,B,Bakat dan Seni
DDA0075,Kesedaran Kepentingan Kesihatan Emosi di Tempat Kerja & Kehidupan Harian Zon Timur,2024,3,KESIHATAN,KESIHATAN,B29,B,Bakat dan Seni
DDA0079,Kursus Kemahiran Komunikasi Pengembangan Berkesan Zon Timur,2024,3,PERTANIAN,PENGEMBANGAN PERTANIAN,B19,B,Bakat dan Seni
DDA0082,Kursus Pengukuhan Pasukan,2024,3,PEMBANGUNAN DIRI DAN SAHSIAH,Pengukuhan Pasukan,B41,B,Bakat dan Seni
EEA0021,"PENGUKUHAN GOVERNANS, INTEGRITI DAN ANTIRASUAH",2022,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B22,B,Bakat dan Seni
EEA0025,NEGOSIASI DAN KOMUNIKASI BERKESAN DI TEMPAT KERJA,2022,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B29,B,Bakat dan Seni
EEA0030,PENGURUSAN DAN AMALAN PERTANIAN BANDAR,2022,1,PERTANIAN,PENGETAHUAN UNDANG-UNDANG & DASAR BERKAITAN BIDANG PERTANIAN,B29,B,Bakat dan Seni
EEA0038,EXPRESSIVE ART THERAPY,2023,3,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B29,B,Bakat dan Seni
EEA0039,PROFIL PERSONALITI TAJMA,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B32,B,Bakat dan Seni
EEA0058,PEMERKASAAN PERSONALITI,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keperibadian dan Profesionalisme,B29,B,Bakat dan Seni
EEA0059,PENGURUSAN GANGGUAN SEKSUAL DI TEMPAT KERJA,2023,2,PSIKOLOGI,LITERASI KAUNSELING,B29,B,Bakat dan Seni
EEA0066,BERFIKIR DI LUAR KOTAK,2024,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,B44,B,Bakat dan Seni
EEA0084,KESEDARAN KEPENTINGAN KESIHATAN EMOSI DI TEMPAT KERJA DAN KEHIDUPAN SEHARIAN ZON SELATAN,2024,3,KESIHATAN,KESIHATAN,B19,B,Bakat dan Seni
EEA0085,KHIDMAT PENGEMBANGAN MELALUI APLIKASI TikTok,2024,3,ICT,Pengurusan Pengetahuan dan Maklumat Digital,B32,B,Bakat dan Seni
FZA0007,Kursus Pertanian Bandar,2022,2,PERTANIAN,KEJURUTERAAN DAN TEKNOLOGI PERTANIAN,B44,B,Bakat dan Seni
FZA0011,Kursus Pertanian Digital (Smart Farming),2024,1,PERTANIAN,KEJURUTERAAN DAN TEKNOLOGI PERTANIAN,B32,B,Bakat dan Seni
HAA0001,KURSUS STRATEGI PEMASARAN DIGITAL MELALUI COPYWRITING DAN STORYTELLING (UPSKILLING PP),2023,1,INDUSTRI MAKANAN,PEMASARAN DIGITAL,B22,B,Bakat dan Seni
ICA0001,KURSUS PENERBITAN HIBURAN TV BERSEPADU SABAH,2024,10,PENYIARAN,PENERBITAN TV,B29,B,Bakat dan Seni
ICA0002,KURSUS PENERBITAN HIBURAN TV BERSEPADU SARAWAK,2024,10,PENYIARAN,PENERBITAN TV,B22,B,Bakat dan Seni
ICA0003,KURSUS AI TECHNOLOGY FOR TV DESIGNING,2024,5,PENYIARAN,CREATIVE INTELLIGENCE,B32,B,Bakat dan Seni
ICA0005,KURSUS PEMBANGUNAN DAN PENGENDALIAN SIARAN RADIO BERVISUAL,2024,3,PENYIARAN,PENERBITAN RADIO,B29,B,Bakat dan Seni
ICA0006,KURSUS PRODUCTION MANAGER 2.0,2024,5,PENYIARAN,PROGRAM TV,B32,B,Bakat dan Seni
ICA0007,KURSUS IMEJ DAN FESYEN,2024,4,PENYIARAN,CREATIVE INTELLIGENCE,B32,B,Bakat dan Seni
ICA0008,KURSUS TRAIN THE PHOTOGRAPHER,2024,3,PENYIARAN,FOTOGRAFI,B19,B,Bakat dan Seni
ICA0009,KURSUS MENGUASAI KANDUNGAN PSA & KAPSUL TV (MASTERING  PSA & CAPSULE CONTENT FOR TV),2024,3,PENYIARAN,PENERBITAN TV,B19,B,Bakat dan Seni
ICA0017,KURSUS KANDUNGAN BERITA EFEKTIF ( EFFECTIVE  NEWS CONTENT),2024,3,PENYIARAN,KANDUNGAN BERITA,B29,B,Bakat dan Seni
ICA0018,KURSUS ANGER & STRESS MANAGMENT AT WORKPLACE FOR BROADCAST MANAGERS,2024,3,PENYIARAN,PROGRAM TV,B44,B,Bakat dan Seni
ICA0022,KURSUS ART DIRECTION,2024,5,PENYIARAN,CREATIVE INTELLIGENCE,B29,B,Bakat dan Seni
ICA0025,KURSUS ENHANCING NEWS WRITING  &  EDITING SKILLS ( ENGLISH),2024,3,PENYIARAN,KANDUNGAN BERITA,B29,B,Bakat dan Seni
ICA0026,KURSUS VIZRT -PLAYOUT  SESSION,2024,5,INOVASI DAN KREATIVITI,Kumpulan Inovatif dan Kreatif,B41,B,Bakat dan Seni
IEA0001,KURSUS PENGOPERASIAN ARKIB DIGITAL BERITA,2024,3,PENYIARAN,KEJURUTERAAN BERSEPADU,B41,B,Bakat dan Seni
IEA0002,KURSUS PENGENDALIAN STEADICAM PRODUKSI TV,2024,3,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0003,KURSUS MOJO REMOTE PRODUCTION SYSTEM FOR NEWS,2024,3,PENYIARAN,KEJURUTERAAN BERSEPADU,B32,B,Bakat dan Seni
IEA0004,KURSUS PENGENDALIAN KREN KAMERA PRODUKSI TV,2024,3,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0005,FUNDAMENTALS OF MEDIA NETWORK INFRASTRUCTURE COURSE,2024,3,PENYIARAN,KEJURUTERAAN BERSEPADU,B41,B,Bakat dan Seni
IEA0006,KURSUS PENGOPERASIAN PRODUKSI KAMERA BERBILANG SIARAN LUAR (STESEN NEGERI),2024,10,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0009,KURSUS PENGOPERASIAN SISTEM SIARAYA,2024,5,PENYIARAN,KEJURUTERAAN RADIO,B19,B,Bakat dan Seni
IEA0010,KURSUS PENGOPERASIAN SISTEM VR/AR STUDIO TV,2024,3,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0012,KURSUS REKA BENTUK STUDIO AKUSTIK SIARAN,2024,5,PENYIARAN,KEJURUTERAAN RADIO,B29,B,Bakat dan Seni
IEA0014,KURSUS PENGOPERASIAN PENGADUN VIDEO STUDIO,2024,4,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0016,KURSUS PENGENDALIAN SISTEM ISYARAT VANDA,2024,5,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0018,AUDIO TECHNOLOGIES FOR BROADCASTING COURSE,2024,4,PENYIARAN,KEJURUTERAAN RADIO,B22,B,Bakat dan Seni
IEA0020,KURSUS PENGOPERASIAN LIVE STREAMING VMIX,2024,4,PENYIARAN,KEJURUTERAAN BERSEPADU,B29,B,Bakat dan Seni
IEA0023,KURSUS PENGOPERASIAN SISTEM AUDIO PRODUKSI TV,2024,4,PENYIARAN,KEJURUTERAAN TV,B29,B,Bakat dan Seni
IEA0025,KURSUS PEMATUHAN TEKNIKAL RANTAIAN PENYIARAN,2024,3,PENYIARAN,KEJURUTERAAN BERSEPADU,B29,B,Bakat dan Seni
IIA0016,KURSUS PENGURUSAN KEWANGAN & BELANJAWAN NEGARA,2022,1,KEWANGAN,Kewangan,B32,B,Bakat dan Seni
IIA0029,WEBINAR IMEJ & KETERAMPILAN DIRI,2023,2,PEMBANGUNAN DIRI DAN SAHSIAH,Keyakinan Diri,B29,B,Bakat dan Seni
ISA0002,KURSUS PELAN KOMUNIKASI STRATEGIK,2024,3,KOMUNIKASI,KOMUNIKASI STRATEGIK GSPI,B29,B,Bakat dan Seni
ISA0008,KURSUS THE MAKING OF e-MAGAZINE,2024,3,PENYIARAN,MEDIA SOSIAL,B19,B,Bakat dan Seni
ISA0009,KURSUS POWER POINT FOR PROFESSIONAL,2024,3,KOMUNIKASI,PENGURUSAN DATA (MICROSOFT),B29,B,Bakat dan Seni
ISA0010,KURSUS SERANGAN BERITA PALSU: APA PERSEDIAAN KITA?,2024,3,KOMUNIKASI,KOMUNIKASI STRATEGIK GSPI,B29,B,Bakat dan Seni
ISA0012,KURSUS EXCEL DATA ANALYTIC ( BASIC),2024,3,ICT,Pengurusan Pangkalan Data,B32,B,Bakat dan Seni
ISA0013,KURSUS NEW MEDIA COMMUNICATION,2024,3,KOMUNIKASI,KOMUNIKASI MEDIA BAHARU,B22,B,Bakat dan Seni
